stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10457,10457,"34th St & Chester Ave",,  39.818173, -86.100296,,,0,
10458,10458,"34th St & Forest Manor Ave",,  39.818187, -86.098075,,,0,
10460,10460,"34th St & Colorado Ave",,  39.818216, -86.095355,,,0,
10461,10461,"34th St & Euclid Ave",,  39.818245, -86.092703,,,0,
10463,10463,"34th St & Arthington Blvd",,  39.818267, -86.090393,,,0,
10465,10465,"34th St & Dequincy St",,  39.818295, -86.087897,,,0,
10466,10466,"34th St & Bancroft St",,  39.818325, -86.085135,,,0,
10469,10469,"34th St & Emerson Ave",,  39.818356, -86.083191,,,0,
10470,10470,"34th St & Butler Ave",,  39.818345, -86.080354,,,0,
10471,10471,"34th St & Downey Ave",,  39.818329, -86.077873,,,0,
10472,10472,"34th St & Layman Ave",,  39.818342, -86.073316,,,0,
10473,10473,"34th St - 5851 E",,  39.818322, -86.067986,,,0,
10474,10474,"34th St & Arlington Ave",,  39.818305, -86.064220,,,0,
10475,10475,"34th St - 6600 E",,  39.818354, -86.058631,,,0,
10476,10476,"34th St - 6700 E",,  39.818369, -86.054950,,,0,
10477,10477,"34th St & Elizabeth St",,  39.818387, -86.052789,,,0,
10478,10478,"34th St & Edmondson Ave",,  39.818393, -86.051034,,,0,
10479,10479,"34th St & Shadeland Ave",,  39.818392, -86.046427,,,0,
10480,10480,"Shadeland Ave & 32nd St",,  39.816052, -86.045926,,,0,
10481,10481,"Shadeland Ave - 3100 N",,  39.813743, -86.045900,,,0,
10482,10482,"30th St & Shadeland Ave",,  39.811016, -86.044510,,,0,
10483,10483,"30th St & Elmhurst Dr",,  39.811041, -86.040097,,,0,
10484,10484,"30th St & Richardt Av",,  39.811047, -86.035017,,,0,
10485,10485,"30th St & Enterprise St",,  39.811109, -86.031945,,,0,
10486,10486,"30th St & Huber St",,  39.811074, -86.029941,,,0,
10487,10487,"30th St & Franklin Rd",,  39.811102, -86.026271,,,0,
10488,10488,"30th St & Private Dr",,  39.811182, -86.024150,,,0,
10489,10489,"30th St & Tobey Dr",,  39.811210, -86.018522,,,0,
10490,10490,"30th St & Routiers Ave",,  39.811287, -86.014180,,,0,
10491,10491,"30th St & Private Dr",,  39.811274, -86.011948,,,0,
10496,10496,"Mitthoefer Rd & 25th St",,  39.805265, -85.990775,,,0,
